"filename", "language", "Batch", "Markdown", "CMake Cache", "JSON", "CMake", "Makefile", "Ini", "XML", "Log", "Python", "C++", "C", "HTML", "comment", "blank", "total"
"c:\Users\K-PC\GoogleDrive\GitHub\win-vind\build\src\system\CMakeFiles\EditorKeybinds.dir\cmake_clean_target.cmake", "CMake", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\K-PC\GoogleDrive\GitHub\win-vind\build\src\system\CMakeFiles\Keybinds.dir\DependInfo.cmake", "CMake", 0, 0, 0, 0, 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 42
"c:\Users\K-PC\GoogleDrive\GitHub\win-vind\build\src\system\CMakeFiles\Keybinds.dir\cmake_clean.cmake", "CMake", 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 24
"c:\Users\K-PC\GoogleDrive\GitHub\win-vind\build\src\system\CMakeFiles\Keybinds.dir\cmake_clean_target.cmake", "CMake", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\K-PC\GoogleDrive\GitHub\win-vind\build\src\system\CMakeFiles\Options.dir\DependInfo.cmake", "CMake", 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 30
"c:\Users\K-PC\GoogleDrive\GitHub\win-vind\build\src\system\CMakeFiles\Options.dir\cmake_clean.cmake", "CMake", 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 12
"c:\Users\K-PC\GoogleDrive\GitHub\win-vind\build\src\system\CMakeFiles\Options.dir\cmake_clean_target.cmake", "CMake", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\K-PC\GoogleDrive\GitHub\win-vind\build\src\system\Makefile", "Makefile", 0, 0, 0, 0, 0, 788, 0, 0, 0, 0, 0, 0, 0, 170, 396, 1354
"c:\Users\K-PC\GoogleDrive\GitHub\win-vind\build\src\system\cmake_install.cmake", "CMake", 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 35
"c:\Users\K-PC\GoogleDrive\GitHub\win-vind\build_gui.bat", "Batch", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3
"c:\Users\K-PC\GoogleDrive\GitHub\win-vind\config\custom.ini", "Ini", 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 1, 9
"c:\Users\K-PC\GoogleDrive\GitHub\win-vind\config\custom.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 72, 0, 0, 0, 0, 0, 0, 1, 73
"c:\Users\K-PC\GoogleDrive\GitHub\win-vind\config\custom_exapp.ini", "Ini", 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 1, 8
"c:\Users\K-PC\GoogleDrive\GitHub\win-vind\config\custom_opts.ini", "Ini", 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 1, 11
"c:\Users\K-PC\GoogleDrive\GitHub\win-vind\config\custom_opts_bool.ini", "Ini", 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\K-PC\GoogleDrive\GitHub\win-vind\config\default.ini", "Ini", 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 4, 3, 15
"c:\Users\K-PC\GoogleDrive\GitHub\win-vind\config\default.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 73, 0, 0, 0, 0, 0, 0, 19, 92
"c:\Users\K-PC\GoogleDrive\GitHub\win-vind\config\default_exapp.ini", "Ini", 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 7
"c:\Users\K-PC\GoogleDrive\GitHub\win-vind\config\default_opts.ini", "Ini", 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 13, 7, 30
"c:\Users\K-PC\GoogleDrive\GitHub\win-vind\config\default_opts_bool.ini", "Ini", 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\K-PC\GoogleDrive\GitHub\win-vind\config\ui_English.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\K-PC\GoogleDrive\GitHub\win-vind\config\ui_Japanese.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\K-PC\GoogleDrive\GitHub\win-vind\create_ins.bat", "Batch", 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 30
"c:\Users\K-PC\GoogleDrive\GitHub\win-vind\create_zip.bat", "Batch", 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 46
"c:\Users\K-PC\GoogleDrive\GitHub\win-vind\debug\CMakeCache.txt", "CMake Cache", 0, 0, 573, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 139, 712
"c:\Users\K-PC\GoogleDrive\GitHub\win-vind\debug\CMakeFiles\3.14.4\CMakeCCompiler.cmake", "CMake", 0, 0, 0, 0, 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 76
"c:\Users\K-PC\GoogleDrive\GitHub\win-vind\debug\CMakeFiles\3.14.4\CMakeCXXCompiler.cmake", "CMake", 0, 0, 0, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 79
"c:\Users\K-PC\GoogleDrive\GitHub\win-vind\debug\CMakeFiles\3.14.4\CMakeRCCompiler.cmake", "CMake", 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Users\K-PC\GoogleDrive\GitHub\win-vind\debug\CMakeFiles\3.14.4\CMakeSystem.cmake", "CMake", 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 16
"c:\Users\K-PC\GoogleDrive\GitHub\win-vind\debug\CMakeFiles\3.14.4\CompilerIdCXX\CMakeCXXCompilerId.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 478, 0, 0, 54, 107, 639
"c:\Users\K-PC\GoogleDrive\GitHub\win-vind\debug\CMakeFiles\3.14.4\CompilerIdC\CMakeCCompilerId.c", "C", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 499, 0, 52, 109, 660
"c:\Users\K-PC\GoogleDrive\GitHub\win-vind\debug\CMakeFiles\CMakeDirectoryInformation.cmake", "CMake", 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 17
"c:\Users\K-PC\GoogleDrive\GitHub\win-vind\debug\CMakeFiles\CMakeOutput.log", "Log", 0, 0, 0, 0, 0, 0, 0, 0, 899, 0, 0, 0, 0, 0, 257, 1156
"c:\Users\K-PC\GoogleDrive\GitHub\win-vind\debug\CMakeFiles\Makefile.cmake", "CMake", 0, 0, 0, 0, 66, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 72
"c:\Users\K-PC\GoogleDrive\GitHub\win-vind\debug\CMakeFiles\feature_tests.c", "C", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 0, 0, 4, 35
